514.5	671	1.305	16.57
514.5	667	1.3	16.03
523.5	677.5	1.295	16.63
520	671	1.29	16.69
489.6666667	641	1.31	17.12
487.6666667	639.3333333	1.31	16.72333333
512	664	1.3	16
505	666.5	1.32	16.22
491.75	640	1.3025	17.52
480.75	643.25	1.3375	16.4175
486	643.75	1.3275	14.0425
469.6666667	629	1.34	15.19
509.6666667	688.6666667	1.35	13.59
486.6666667	674	1.383333333	15.19666667
500	665.5	1.33	14.75
519	677.5	1.305	15
523.3333333	721	1.376666667	13.54333333
494.6666667	700.6666667	1.413333333	14.73333333
543.6666667	747.6666667	1.373333333	12.21
531	735.6666667	1.386666667	13.03666667
494	669.3333333	1.356666667	13.34666667
464	645	1.39	14.23666667
489	669.5	1.375	12.55
466.5	652.5	1.4	15.545
484	648.5	1.34	15.75
471.5	649.5	1.375	16.955
500	687	1.373333333	15.26333333
488	679.3333333	1.39	14.83333333
550.6666667	693.3333333	1.256666667	12.21333333
552.6666667	688.6666667	1.246666667	11.38333333
518.6666667	666.6666667	1.286666667	11.51666667
537	686.6666667	1.28	12.06666667
512	665.5	1.3	12.84
523.5	674.5	1.285	12.415
490	639.6666667	1.306666667	14.06666667
479	644	1.34	13.23
489	658.5	1.345	12.97
476	642	1.35	13.23
522	687	1.315	12.95
496	672.5	1.355	13.885
519	713	1.375	13.205
500.5	700.5	1.4	13.955
524	695.5	1.325	13.59
524	700	1.34	13.02
497	657.5	1.325	13.375
479	641.5	1.34	14.705
544	713.5	1.315	14.22
496.6666667	656.3333333	1.323333333	13.24333333
441.3333333	620.3333333	1.406666667	17.16666667
504	652	1.296666667	18.26333333
508	656	1.293333333	17.78666667
503	666.6666667	1.326666667	17.02
504.3333333	665.3333333	1.323333333	16.83666667
499	654	1.31	16.82
487.3333333	648	1.325	17.63
514.5	676.5	1.315	13.7
521	678	1.3	12.32
507	663	1.31	12.05
460	636	1.38	16.65
514	670	1.3	14
442	630	1.42	15.65
509.6666667	657.3333333	1.29	14.15
436.3333333	600	1.376666667	17.66666667
515.5	682	1.32	16.93
509	666	1.31	17.67
502	688.5	1.375	14.155
471.5	679.5	1.445	16.025
462	657.5	1.42	15.01
517	679	1.31	13.66
469	645	1.38	17.28
527	690	1.31	13.84
480	653	1.36	16
512.25	684.75	1.3375	14.8775
476	663	1.396666667	15.89666667
471	652	1.39	14.02
462.5	654.5	1.42	13.62
437	622	1.42	15.89
440.6666667	621.6666667	1.41	16.01333333
440	648	1.47	16.38
443.3333333	649.6666667	1.466666667	15.84666667
492	649	1.32	12.55
492	643.5	1.31	13.125
492.5	670	1.36	16.105
503.5	670	1.33	14.195
533	674	1.265	13.06
530	670.5	1.265	13.585
507	649	1.28	15.615
502.5	646	1.285	15.585
536.5	677.5	1.265	13.135
